"","zip","encounter","intel","probable_cause","reasonable_suspicion","total","median_tax","location","population","people_sq_mile"
"1","02108",35,46,117,75,273,933844,"42.357554, -71.063913","3,446","12,377.16"
"2","02109",10,4,26,19,59,733410,"42.362653, -71.053804","3,428","20,752.98"
"3","02110",21,14,55,30,120,980641,"42.357371, -71.053180","1,428","8,630.93"
"4","02111",63,44,233,89,429,771739,"42.348784, -71.058988","5,138","15,967.11"
"5","02113",2,NA,8,10,NA,536141,"42.365170, -71.055363","6,401","60,728.26"
"6","02114",21,3,35,28,87,536486,"42.363175, -71.068646","10,868","19,975.48"
"7","02115",40,22,35,36,133,560728,"42.337545, -71.106173","25,486","30,823.24"
"8","02116",51,12,100,51,214,921090.5,"42.349991, -71.076080","19,682","26,352.26"
"9","02118",145,213,190,182,730,644099.5,"42.337863, -71.070816","22,173","20,902.06"
"10","02119",266,276,394,189,1125,354987,"42.323881, -71.085332","23,823","14,856.36"
"11","02120",36,52,42,24,154,481889,"42.332424, -71.095750","10,842","18,116.78"
"12","02121",148,110,259,73,590,440150.5,"42.307434, -71.083022","25,057","19,592.25"
"13","02122",61,29,56,46,192,457858,"42.295088, -71.052533","24,548","14,350.84"
"14","02124",135,60,242,102,539,467818,"42.285922, -71.075046","50,781","16,127.90"
"15","02125",103,74,142,76,395,449004,"42.320300, -71.045904","33,618","11,016.97"
"16","02126",67,31,110,55,263,391772,NA,NA,NA
"17","02127",19,10,33,21,83,573639.5,"42.336004, -71.038695","29,456","13,233.61"
"18","02128",28,26,45,37,136,487897,"42.361129, -71.006976","38,413","7,504.84"
"19","02129",12,10,64,23,109,597197,NA,NA,NA
"20","02130",73,75,62,40,250,512297,NA,NA,NA
"21","02131",12,4,20,8,44,476619,NA,NA,NA
"22","02132",9,3,5,8,25,483522.5,NA,NA,NA
"23","02134",51,45,36,32,164,493905,NA,NA,NA
"24","02135",50,62,39,37,188,433300,NA,NA,NA
"25","02136",26,7,21,19,73,376384,NA,NA,NA
"26","02199",2,1,7,2,12,3267927,"42.347465, -71.082058","1,005","17,390.25"
"27","02203",2,NA,15,5,NA,NA,NA,NA,NA
"28","02210",2,2,5,5,14,802937,"42.347682, -71.041731","592","757.88"
"29","02215",16,8,25,16,65,457805,"42.347053, -71.101985","21,963","25,125.73"
"30","02467",1,NA,NA,NA,NA,284685,NA,NA,NA
